Rank,Nation,Squad_Size,Avg_Age,Total Value,Confideration,Points
1,Belgium,31,27.4,$793.10m,UEFA,1780
2,France,26,27.6,$1.17bn,UEFA,1755
3,Brazil,25,27.6,$1.03bn,CONMEBOL,1743
4,England,25,25.6,$1.11bn,UEFA,1670
5,Portugal,24,27.4,$845.90m,UEFA,1662
6,Spain,24,26.4,$940.50m,UEFA,1645
7,Argentina,22,27.9,$581.90m,CONMEBOL,1642
8,Uruguay,35,27,$498.16m,CONMEBOL,1639
9,Mexico,22,27.8,$190.96m,CONCACAF,1632
10,Italy,29,27.1,$893.20m,UEFA,1625
11,Croatia,25,28.2,$385.00m,UEFA,1617
12,Denmark,27,27.7,$330.33m,UEFA,1614
13,Germany,23,26.3,$1.04bn,UEFA,1610
14,Netherlands,24,27.4,$566.23m,UEFA,1609
15,Colombia,27,27.6,$337.40m,CONMEBOL,1601
16,Switzerland,23,26.9,$289.30m,UEFA,1593
17,Chile,24,28.1,$39.93m,CONMEBOL,1567
18,Wales,25,25.2,$137.97m,UEFA,1562
19,Poland,25,26.6,$300.19m,UEFA,1559
20,Senegal,23,26.4,$253.94m,CAF,1558
20,Sweden,25,28.6,$222.97m,UEFA,1558
22,United States,26,23.3,$229.90m,CONCACAF,1548
23,Austria,29,27.2,$333.82m,UEFA,1531
24,Ukraine,23,26.4,$140.14m,UEFA,1521
25,Peru,36,28.7,$94.19m,CONMEBOL,1512
26,Tunisia,31,25.8,$54.70m,CAF,1503
27,Japan,23,27.7,$91.47m,AFC,1502
28,Venezuela,28,26.6,$82.34m,CONMEBOL,1501
29,Iran,26,31.4,$63.64m,AFC,1496
30,Serbia,30,26.4,$383.41m,UEFA,1492
31,Algeria,28,28.9,$196.19m,CAF,1488
32,Turkey,24,25.9,$249.81m,UEFA,1487
33,Morocco,24,28,$244.64m,CAF,1481
34,Slovakia,29,27.7,$135.47m,UEFA,1478
35,Paraguay,33,27.9,$119.90m,CONMEBOL,1476
36,Nigeria,23,25.4,$222.81m,CAF,1474
37,Romania,24,27.7,$105.44m,UEFA,1466
38,South Korea,23,27.5,$39.00m,AFC,1465
39,Russia,26,28.4,$165.66m,UEFA,1461
40,Hungary,24,28.3,$65.84m,UEFA,1460
41,Australia,24,28.7,$46.42m,AFC,1457
42,Republic of Ireland,27,26.4,$105.38m,UEFA,1456
42,Czech Republic,25,28.2,$176.50m,UEFA,1456
44,Norway,26,26.8,$270.16m,UEFA,1450
45,Northern Ireland,27,27.4,$50.22m,UEFA,1440
46,Iceland,23,29,$41.75m,UEFA,1438
47,Jamaica,20,27,$25.69m,CONCACAF,1437
48,Scotland,26,28.2,$274.34m,UEFA,1436
49,Egypt,28,28.3,$175.62m,CAF,1432
50,Costa Rica,23,28.5,$25.00m,CONCACAF,1427
50,Cameroon,27,25.6,$73.04m,CAF,1427
52,Ghana,23,25.8,$115.31m,CAF,1424
53,Greece,28,26.2,$114.46m,UEFA,1413
54,Mali,22,25.4,$44.28m,CAF,1412
55,Finland,25,28.7,$32.89m,UEFA,1411
56,Bosnia,23,26.7,$87.12m,UEFA,1410
